Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  131  : ('呼吁', 1.0000000000000002)('在会见', 1.0000000000000002)('来访的', 1.0000000000000002)('双方', 1.0000000000000002)
Article  132  : ('国', 1.0959800529208197)('已经', 1.0000000000000007)('在', 1.0000000000000004)('国农业部', 1.0000000000000002)
Article  133  : ('信息', 1.1380301550983)('业', 1.0536454113159848)('招聘', 1.0000000000000007)('大中型企业', 1.0000000000000004)
Article  134  : ('电', 1.1966836692628195)('气', 1.1413383297153987)('学', 1.0707972396137686)('直径', 1.0000000000000004)
Article  135  : ('在', 1.0000000000000004)('空间站', 1.0000000000000004)('美', 1.0000000000000002)('制', 1.0000000000000002)
Article  136  : ('肝', 1.0177576906254557)('化', 1.000000000000002)('慢性', 1.0000000000000009)('和', 1.0000000000000004)
Article  137  : ('2', 1.3706041698275429)('和', 1.093735110090615)('多', 1.0000000000000004)('美国总统选举', 1.0000000000000004)
Article  138  : ('8', 1.0000000000000002)('伦敦外汇市场行情新华社伦敦11月', 1.0)('日', 1.0)('电', 1.0)
Article  139  : ('8', 1.0000000000000002)('国际市场贱金属价格新华社伦敦11月', 1.0)('日', 1.0)('电', 1.0)
Article  140  : ('走势', 1.0000000000000002)('不', 1.0000000000000002)('1', 1.0000000000000002)('中', 1.0000000000000002)
Article  141  : ('努力', 1.0000000000000004)('政府', 1.0000000000000004)('落', 1.0000000000000002)('在会见', 1.0000000000000002)
Article  142  : ('贷款', 1.1633772971212355)('会', 1.0712273681435864)('在', 1.0000000000000007)('非洲', 1.0000000000000004)
Article  143  : ('0', 1.9815804013531202)('4', 1.3035159139475625)('1', 1.106973983974903)('和日本', 1.0000000000000004)
Article  144  : ('4', 1.144016995001523)('国', 1.0421141376995826)('2', 1.0000000000000016)('0', 1.0000000000000007)
Article  145  : ('斯', 1.0873799725651567)('分', 1.0419793668691593)('16强', 1.0000000000000004)('组', 1.0000000000000004)
Article  146  : ('的', 1.1337999999999995)('八', 1.0000000000000007)('国', 1.0000000000000004)('黎', 1.0000000000000002)
Article  147  : ('9', 1.6185327770693214)('非洲', 1.0000000000000004)('发', 1.0000000000000004)('将在', 1.0000000000000004)
Article  148  : ('是一个', 1.0000000000000004)('苏', 1.0000000000000002)('中', 1.0000000000000002)('关系', 1.0000000000000002)
Article  149  : ('派遣', 1.0000000000000004)('将就', 1.0000000000000002)('日', 1.0000000000000002)('荷兰', 1.0000000000000002)
Article  150  : ('1', 1.059296278085248)('员', 1.0000000000000004)('有', 1.0000000000000004)('时', 1.0000000000000004)
Article  151  : ('外', 1.0000000000000004)('经济', 1.0000000000000002)('不是', 1.0000000000000002)('行', 1.0000000000000002)
Article  152  : ('国', 1.0000000000000002)('官', 1.0000000000000002)('员', 1.0000000000000002)('8', 1.0000000000000002)
Article  153  : ('NBA', 1.0000000000000007)('后', 1.0000000000000004)('多', 1.0000000000000004)('也', 1.0000000000000004)
Article  154  : ('巍', 1.0300207756232689)('发', 1.0000000000000004)('业', 1.0000000000000004)('收益', 1.0000000000000004)
Article  155  : ('人民币市场汇价新华社北京11月', 1.0)('9日电', 1.0)
Article  156  : ('的', 1.048265378542689)('德国联邦', 1.0000000000000004)('能', 1.0000000000000004)('决定', 1.0000000000000002)
Article  157  : ('4', 1.1302709767689556)('和', 1.1271961045249355)('州', 1.1091502072451287)('9', 1.1070579191304253)
Article  158  : ('部', 1.2142180540212835)('本土', 1.0000000000000004)('实', 1.0000000000000002)('施', 1.0000000000000002)
Article  159  : ('0', 1.1039808601758334)('国', 1.09202248122323)('最', 1.0000000000000002)('大', 1.0000000000000002)
Article  160  : ('锭', 1.1129043046807519)('纺织行业', 1.0000000000000004)('纺织工业', 1.0000000000000004)('纺织', 1.0000000000000004)
Article  161  : ('1', 1.2442697103588756)('0', 1.189539770217263)('业', 1.0443531326518554)('五', 1.0000000000000004)
Article  162  : ('0', 1.3614366021045978)('维', 1.0865387774821833)('人', 1.0000000000000018)('口普查', 1.0000000000000007)
Article  163  : ('海', 1.189539227269392)('的', 1.0000000000000013)('不合理的', 1.0000000000000004)('肾', 1.0000000000000002)
Article  164  : ('国', 1.0844798049522308)('我国', 1.0000000000000002)('水', 1.0000000000000002)('数', 1.0000000000000002)
Article  165  : ('一', 1.1560422584462287)('工', 1.115364212980136)('会', 1.0274576989014466)('海', 1.000000000000002)
Article  166  : ('有所', 1.077231773100986)('为', 1.0757632498683989)('产', 1.0736042416191007)('年', 1.059422563795412)
Article  167  : ('时', 1.5507335997951754)('更', 1.2103909803286974)('户', 1.131437800699736)('0', 1.1151852040737626)
Article  168  : ('忙', 1.270000879296296)('乎', 1.1194942560875822)('菜', 1.0247664379161345)('样', 1.0026050117180456)
Article  169  : ('0', 1.1193364649959348)('的', 1.0000000000000036)('碱渣', 1.0000000000000022)('厂', 1.0000000000000009)
Article  170  : ('0', 1.5970428849896392)('形', 1.214218054021284)('色', 1.1000967744122085)('国', 1.0673622218112464)
Article  171  : ('古', 1.1783043316035968)('西', 1.0000000000000004)('人', 1.0000000000000004)('新华社乌鲁木齐11月', 1.0000000000000002)
Article  172  : ('的', 1.1090319568448381)('1', 1.0719341496091883)('国', 1.0000000000000004)('要', 1.0000000000000004)
Article  173  : ('户', 1.2341856252201897)('步', 1.133957835963697)('根', 1.0897712128817199)('车', 1.0719341496091883)
Date  20001110
Article  0  : ('纳', 1.14239060918591)('峰', 1.0000000000000013)('高', 1.000000000000001)('的', 1.0000000000000007)
Article  1  : ('最', 1.14239060918591)('国', 1.0000000000000007)('天', 1.0000000000000007)('出', 1.0000000000000004)
Article  2  : ('界', 1.1937076523862191)('会', 1.0000000000000007)('和', 1.0000000000000004)('国', 1.0000000000000002)
Article  3  : ('拉', 1.4106715713034497)('马', 1.0000000000000004)('封锁', 1.0000000000000002)('0', 1.0000000000000002)
Article  4  : ('选手', 1.0000000000000004)('国', 1.0000000000000002)('男', 1.0000000000000002)('子举重冠军', 1.0000000000000002)
Article  5  : ('的', 1.0162497001877893)('取缔', 1.0000000000000002)('项决', 1.0000000000000002)('议', 1.0000000000000002)
Article  6  : ('和', 1.0000000000000004)('葡', 1.0000000000000002)('两', 1.0000000000000002)('国将', 1.0000000000000002)
Article  7  : ('0', 1.6682209899336229)('粮食', 1.0000000000000007)('俄罗斯', 1.0000000000000002)('戈尔', 1.0000000000000002)
Article  8  : ('2', 1.2673431356190419)('一', 1.2513586419753082)('柔道', 1.0000000000000009)('获得', 1.0000000000000004)
Article  9  : ('人', 1.0000000000000004)('长', 1.0000000000000002)('0', 1.0000000000000002)('日', 1.0000000000000002)
Article  10  : ('9', 1.3870789393794811)('的', 1.0000000000000004)('促进', 1.0000000000000002)('群众体育', 1.0000000000000002)
Article  11  : ('0', 1.2786845489786547)('2', 1.1300539425241858)('1', 1.071831264575799)('射击', 1.0000000000000004)
Article  12  : ('越', 1.340478784726456)('0', 1.3235388392140608)('2', 1.203446153707684)('年', 1.14004913624116)
Article  13  : ('细', 1.3656092360153491)('0', 1.2862051550608058)('闻', 1.1423906091859102)('山', 1.1127944810575425)
Article  14  : ('0', 1.2479166666666661)('2', 1.1103940222419082)('分', 1.0000000000000004)('数', 1.0000000000000002)
Article  15  : ('互', 1.1874297986361073)('认', 1.000000000000002)('的', 1.0000000000000013)('CA', 1.0000000000000004)
Article  16  : ('冬', 1.0000000000000002)('联邦军队', 1.0000000000000002)('即', 1.0000000000000002)('在对', 1.0000000000000002)
Article  17  : ('0', 1.2398413318909383)('2', 1.0258261119233827)('1', 1.0000000000000004)('的', 1.0000000000000004)
Article  18  : ('有', 1.2823497387255638)('1', 1.0000000000000004)('支持北京申奥', 1.0000000000000002)('女双', 1.0000000000000002)
Article  19  : ('润', 1.1359901288853576)('明', 1.0000000000000007)('四分之一决赛', 1.0000000000000004)('八号种子', 1.0000000000000004)
Article  20  : ('丹', 1.1039808601758332)('的', 1.000000000000001)('第', 1.0000000000000004)('沈阳', 1.0000000000000002)
Article  21  : ('站', 1.2379552888961942)('的', 1.0000000000000009)('队', 1.0000000000000004)('获得', 1.0000000000000004)
Article  22  : ('会', 1.0000000000000007)('奥地利', 1.0000000000000002)('人', 1.0000000000000002)('新华社北京11月10日电', 1.0000000000000002)
Article  23  : ('部', 1.3055700040987643)('中', 1.1531062133306162)('河内', 1.1513717638654297)('0', 1.099859480596964)
Article  24  : ('0', 1.269956022727869)('决定', 1.0000000000000004)('新华社广州11月1', 1.0000000000000002)('日', 1.0000000000000002)
Article  25  : ('国', 1.1586725397155917)('体', 1.0000000000000013)('被', 1.0000000000000004)('敏', 1.0000000000000002)
Article  26  : ('1', 1.079574129345944)('点', 1.069423778674134)('9', 1.0640059835826283)('群众', 1.0000000000000004)
Article  27  : ('一', 1.5277520576131685)('署', 1.1980601298594555)('1', 1.1609687189433788)('向', 1.0000000000000002)
Article  28  : ('向', 1.0000000000000004)('法', 1.0000000000000002)('院', 1.0000000000000002)('新华社东京11月1', 1.0000000000000002)
Article  29  : ('价值', 1.2091911827510018)('该公司', 1.0000000000000004)('日', 1.0000000000000002)('宣告破产', 1.0000000000000002)
Article  30  : ('0', 1.1562637861288938)('交', 1.0000000000000007)('韩', 1.0000000000000004)('离散家属', 1.0000000000000002)
Article  31  : ('拉', 1.1783043316035968)('1', 1.0000000000000007)('称', 1.0000000000000004)('巴', 1.0000000000000004)
Article  32  : ('0', 1.7145705187990197)('年', 1.0000000000000002)('国', 1.0000000000000002)('甲级联赛', 1.0000000000000002)
Article  33  : ('赛', 1.0000000000000004)('王', 1.0000000000000004)('今', 1.0000000000000004)('0', 1.0000000000000002)
Article  34  : ('优势', 1.3548007383806204)('地', 1.2418820262291765)('0', 1.1064768867682233)('手', 1.0891802211657882)
Article  35  : ('0', 1.0629134109691953)('了', 1.0000000000000004)('来', 1.0000000000000002)('结', 1.0000000000000002)
Article  36  : ('视', 1.2147838203545145)('调查', 1.0000000000000002)('在', 1.0000000000000002)('阅读', 1.0000000000000002)
Article  37  : ('0', 1.3114566467067348)('国', 1.027191586336152)('中', 1.000000000000001)('人', 1.0000000000000004)
Article  38  : ('重点城市空气质量状况新华社北京11月', 1.0)('10日电', 1.0)
Article  39  : ('会', 1.010688829420672)('中', 1.0000000000000002)('━', 1.0000000000000002)('俄罗斯', 1.0000000000000002)
Article  40  : ('后', 1.1556241426611786)('的', 1.0000000000000007)('郑波/魏轶力', 1.0000000000000004)('莉', 1.0000000000000004)
Article  41  : ('0', 1.3656092360153491)('上', 1.0504837392022932)('国', 1.0211186135385464)('人', 1.0000000000000002)
Article  42  : ('用', 1.060716022506991)('提供', 1.0473656672993246)('市', 1.0188940118162029)('场', 1.0142678969646128)
Article  43  : ('0', 1.247916666666666)('举办', 1.0000000000000002)('展', 1.0000000000000002)('新华社重庆11月1', 1.0000000000000002)
Article  44  : ('0', 1.3837104435817593)('部', 1.0000000000000004)('军士兵', 1.0000000000000002)('议', 1.0000000000000002)
Article  45  : ('司', 1.2439069523071227)('工', 1.0000000000000004)('种', 1.0000000000000002)('工程项目', 1.0000000000000002)
Article  46  : ('1', 1.3667053829778126)('月', 1.1276795663898311)('有', 1.0000000000000004)('江苏', 1.0000000000000002)
Article  47  : ('0', 1.4488780302681052)('原则', 1.3200709791754934)('洽谈', 1.0000000000000004)('新华社广州11月1', 1.0000000000000002)
Article  48  : ('2', 1.1104537921181552)('选', 1.0778468377674653)('67个县', 1.0000000000000007)('重新计票', 1.0000000000000004)
Article  49  : ('0', 1.848571755046517)('帆板', 1.0000000000000009)('新华社南宁11月1', 1.0000000000000002)('国际体育', 1.0000000000000002)
Article  50  : ('0', 1.0000000000000002)('何厚铧', 1.0000000000000002)('发', 1.0000000000000002)('的', 1.0000000000000002)
Article  51  : ('园', 1.0000000000000004)('兴', 1.0000000000000002)('科技工业', 1.0000000000000002)('合肥市', 1.0000000000000002)
Article  52  : ('保暖内衣', 1.0000000000000004)('上', 1.0000000000000004)('家', 1.0000000000000002)('公平竞争', 1.0000000000000002)
Article  53  : ('航天测控', 1.0000000000000007)('工', 1.0000000000000004)('世界', 1.0000000000000002)('0', 1.0000000000000002)
Article  54  : ('会', 1.1136266422801395)('开', 1.0000000000000004)('展', 1.0000000000000004)('今', 1.0000000000000002)
Article  55  : ('观', 1.201143952156744)('令', 1.1790317082672452)('家', 1.0000000000000004)('有', 1.0000000000000004)
Article  56  : ('大', 1.198451521934217)('有', 1.1830208418754349)('天', 1.0688241753485117)('1', 1.0300207756232687)
Article  57  : ('1', 1.3378317187579685)('车', 1.1199494612099012)('3', 1.0737268382708796)('量', 1.012510576282319)
Article  58  : ('陇', 1.2759371626618154)('学', 1.209191182751002)('地', 1.0000000000000004)('爱心', 1.0000000000000002)
Article  59  : ('6', 1.0000000000000002)('又', 1.0000000000000002)('之', 1.0000000000000002)('提', 1.0000000000000002)
Article  60  : ('抢险救', 1.0000000000000004)('抗', 1.0000000000000004)('表彰', 1.0000000000000002)('中', 1.0000000000000002)
Article  61  : ('狠', 1.0143305785123968)('的', 1.0000000000000016)('社会治安', 1.0000000000000007)('掀起', 1.0000000000000004)
Article  62  : ('日', 1.1883292091836732)('1', 1.0839140109912602)('表面', 1.0000000000000004)('通', 1.0000000000000004)
Article  63  : ('赛', 1.29580452619666)('2', 1.1287421468118413)('对', 1.0000000000000004)('科', 1.0000000000000004)
Article  64  : ('每天', 1.0000000000000004)('呼和浩特', 1.0000000000000002)('游泳', 1.0000000000000002)('健身', 1.0000000000000002)
Article  65  : ('0', 1.3202192674274653)('运', 1.1343305802653774)('年', 1.000000000000001)('1', 1.0000000000000007)
Article  66  : ('面', 1.0000000000000004)('该公司', 1.0000000000000004)('体育用品', 1.0000000000000002)('世', 1.0000000000000002)
Article  67  : ('明', 1.0766492724376937)('行', 1.0000000000000002)('作品展', 1.0000000000000002)('研究院', 1.0000000000000002)
Article  68  : ('冬', 1.2816923534192655)('民', 1.185118654234954)('国', 1.1290634327567566)('和', 1.0852236589642221)
Article  69  : ('蒙', 1.3493593331404783)('0', 1.2292208887418876)('西', 1.0000000000000002)('汉', 1.0000000000000002)
Article  70  : ('企', 1.1822090969358952)('值', 1.1709362393944012)('1', 1.1141068491292518)('中', 1.0841793192801914)
Article  71  : ('国', 1.000000000000001)('称', 1.0000000000000002)('新', 1.0000000000000002)('疆', 1.0000000000000002)
Article  72  : ('1', 1.2036586133395983)('农', 1.0000000000000007)('创', 1.0000000000000004)('电', 1.0000000000000004)
Article  73  : ('9', 1.3614366021045987)('着', 1.0000000000000004)('安', 1.0000000000000004)('现代化的', 1.0000000000000002)
Article  74  : ('区', 1.000000000000001)('各', 1.0000000000000007)('发展速度', 1.0000000000000002)('大', 1.0000000000000002)
Article  75  : ('山西省', 1.0000000000000004)('大部分地区', 1.0000000000000004)('计', 1.0000000000000004)('王', 1.0000000000000002)
Article  76  : ('规划', 1.2759371626618154)('水', 1.1085699131229996)('出', 1.0000000000000004)('工', 1.0000000000000004)
Article  77  : ('1', 1.3010416666666664)('不', 1.1176934456327852)('将', 1.0000000000000004)('假劣药', 1.0000000000000002)
Article  78  : ('用', 1.1073812978724533)('加快', 1.0000000000000004)('委', 1.0000000000000002)('今', 1.0000000000000002)
Article  79  : ('业', 1.0000000000000004)('改革', 1.0000000000000004)('主', 1.0000000000000004)('人', 1.0000000000000002)
Article  80  : ('0', 1.0000000000000002)('集团公司', 1.0000000000000002)('国', 1.0000000000000002)('高', 1.0000000000000002)
Article  81  : ('地', 1.0000000000000002)('库', 1.0000000000000002)('车', 1.0000000000000002)('北', 1.0000000000000002)
Article  82  : ('有', 1.0000000000000004)('物', 1.0000000000000004)('0', 1.0000000000000002)('是', 1.0000000000000002)
Article  83  : ('自', 1.2173469387755091)('1', 1.1859105674209593)('年', 1.0400294855495065)('到', 1.0000000000000002)
Article  84  : ('新', 1.0915038222222213)('发', 1.0000000000000004)('华', 1.0000000000000002)('社', 1.0000000000000002)
Article  85  : ('大', 1.0000000000000002)('0', 1.0000000000000002)('日', 1.0000000000000002)('电', 1.0000000000000002)
